 ; 200; 400; 600; 800; 1000;
25%; 1,2497; 4,6864; 10,3101; 18,1208; 29,8369; 
50%; 1,87456; 5,15503; 12,8095; 21,7136; 33,2734; 
75%; 1,2497; 5,46746; 11,5598; 21,089; 33,5859; 
100%; 1,09349; 5,31125; 11,0912; 21,2452; 32,6484; 
