 ; 200; 400; 600; 800; 1000;
25%; 0,508653; 2,58817; 6,06845; 11,8723; 15,9339; 
50%; 0,781067; 3,90533; 6,40477; 11,5599; 17,496; 
75%; 0,781058; 3,59293; 7,02964; 14,2155; 22,4948; 
100%; 0,781069; 4,37398; 9,52906; 16,4025; 26,8691; 
