 ; 200; 400; 600; 800; 1000;
25%; 0,156218; 1,71834; 4,06159; 6,405; 9,99786; 
50%; 0,781064; 2,65563; 5,93617; 11,8725; 17,1835; 
75%; 0,937278; 3,90535; 8,90422; 15,9339; 25,4629; 
100%; 1,09349; 4,68643; 12,4972; 18,5896; 34,0546; 
